1,Afrochique,Performing Groups,“Afrochique” Dance Team stands firmly upon its belief in its program to promote diversity on campus by showcasing African dance mixed with other genres of dance.,Afrochique is a multicultural performing dance team which performs routines from various African and french countries.,afrochiqueumd@gmail.com,https://twitter.com/afrochiqueumd,@afrochiqueUMD,@afrochique_umd
2,Bethel Campus Fellowship ,Religious,"The global mission of BCF is soul winning, discipleship, and preparation of dependable young ministers that will serve the next generation.",Leading students to Christ and preparing them to become reliable men and woman that God can entrust with his word for the next generation.,umd@bethelcampusfellowship.com,http://bethelcampusfellowship.com/,,
3,Black Engineers Society,Academic,"BES's mission is to recruit, retain, and release qualified minority in the fields of engineering, computer science, mathematics, and physical science.","BES's mission is to recruit, retain, and release qualified minorities in the fields of computer science, engineering, mathematics, and physical sciences.",BES.President@gmail.com,https://umdbes.github.io/,@BES_UMCP,@besumcp
4,Community Learning Garden,Recreation,"The Community Learning Garden at the University of Maryland will establish, design, implement, maintain and improve the garden located west of the School of Public Health Building.","CLG will establish, design, implement, maintain and improve the Community Learning Garden located west of the School of Public Health Building with collaboration between interested University clubs, departments, and community members.",umdlearninggarden@gmail.com,http://ter.ps/clg,,
5,Do Better Service and Self-Improvement Organization,Advocacy/Service,"The mission of Do Better is to inspire and promote the bettering of oneself and the community through self-improvement, selflessness and accountability.","Do Better is a student-led organization dedicated to promoting personal growth, community service, and peer mentorship.",DoBetterUMD@gmail.com,http://www.dobetterumd.org,@DoBetterUMD,@dobetterumd
6,Engineering Without Borders,Service,"The mission of ""EWB"" is to partner with disadvantaged communities to improve their quality of life through implementation of environmentally and economically sustainable engineering projects, while developing internationally responsible engineering students.",,ewb@umd.edu,http://ewb.umd.edu,,
7,enTERPreneur,Social,"EnTERPreneur is established for the expressed purpose of educating interested students about the different industries and career paths within the world of entrepreneurship. We aim to build a community of motivated, entrepreneurial individuals through workshops, company visits, lectures, showcases, general body meetings, and other events.",,emilygee@umd.edu,https://www.facebook.com/enTERPreneurUMD,,@enterpreneurumd
8,Fencing Club,Sports,The Fencing Club is established for the purpose of providing an opportunity and a means for both veteran and new fencers alike to develop skills in the athletic sport of fencing and be a source of pride for the Maryland community through intercollegiate competition.,,officers@umdfencing.com,http://www.umdfencing.com,@mdclubfencing,
9,Gemstone Leadership Council,Honors,"The Gemstone Leadership Council is a coalition of student leaders from the Gemstone student body. Our goal is to support Gemstone students through the four-year undergraduate research experience and beyond through academic, professional, and community engagement events and initiatives.",,gemstonecouncil@gmail.com,https://gemstonecouncil.weebly.com,@GemstoneCouncil,
10,Habitat for Humanity,Service,"To fund and build simple, decent affordable housing for low income families. To involve individual students as well as student organizations and classes in working toward this common goal. To educate the University of Maryland community about the importance of eliminating poverty housing worldwide.",,president@habitatumd.org,http://www.umdhabitat.org,,@habitatumd
11,Hamsa,Cultural,"Our mission is to make the University of Maryland Jewish community a more open, accepting and comfortable place for the Jewish LGBTQ community, to create an LGBTQ presence among the Jewish community and Hillel, to let Jewish LGBTQ students know that they are not alone, that they belong, and that they are welcome in the College Park Jewish community as much as any other student. Hamsa wishes to foster the creation of a dynamic and active Jewish LGBTQ campus community.",,aalpert@terpmail.umd.edu,https://www.facebook.com/HamsaUMD/,@HamsaUMD,
12,Hip Hop Orchestra,Performing Groups,Integrate two conflicting genres of music in order to broaden the perceptions of both and create a new sound that incorporates the intricate melodies of classical orchestral music with the rhythmic soul and lyricism of hip hop.,,hho.officers@gmail.com,https://www.facebook.com/Hip-Hop-Orchestra-at-UMD-2140652...,,@hiphoporchestra_at_umd
13,Information Science Society,Academic,"Our aim is to form a community that helps students build and expand their professional network, learn about modern technologies, and meet students with similar interests.","An academic organization that aids students in all aspects such as education, profession, social, and service that the information science students could easily access and contribute to.",infoscisociety@gmail.com,,,
